aaaa-mm,tipo_operacion,cantidad_buques,peso_total
2005-09,Repairs,459,2801.07
1993-08,Repairs,378,4296.6
2007-09,Cargo,4712,64943.77
2018-12,Others,7611,118904.52
1999-12,Bunkers,1689,43908
2021-08,Bunkers,3191,170933.502
2020-05,Cargo,3059,88804.572
2018-12,Cargo,3816,100635.3
1993-08,Cargo,3768,30224.2
1996-02,Supplies,1283,17969.05
2006-02,Repairs,478,2373.64
1998-06,Cargo,4776,41397
1996-09,Repairs,356,3165.86
2009-04,Cargo,4343,68674.39
1993-09,Others,5236,982.78
2007-03,Repairs,555,3680.08
2003-07,Repairs,667,4339.67
1993-12,Supplies,1105,15441.14
2012-05,Others,5999,70729.22
2002-07,Cargo,4556,46163.22
2018-01,Others,7102,115341.26
1996-07,Cargo,4752,38897.43
2004-02,Supplies,1258,22406.98
2018-05,Bunkers,3237,156613.11
2013-05,Bunkers,3282,142203.7
2003-11,Others,6781,18832.05
2009-01,Supplies,1642,45519.54
2004-07,Repairs,577,3804.02
1993-09,Cargo,3693,29767.99
2020-06,Supplies,2432,97538.573
1997-04,Bunkers,1723,39230
2008-01,Others,5703,36845.04
2000-01,Cargo,4270,41850
1997-05,Cargo,4997,42244
2014-02,Cargo,3731,80302
2005-05,Others,6182,21344.31
2019-09,Others,7526,128090.89
1994-10,Cargo,4184,33639.4
2008-11,Others,5580,43688.25
2019-09,Bunkers,3394,179219.058
1995-03,Supplies,1336,17790.43
2002-04,Cargo,4420,44134.96
2001-08,Others,8064,21668
2019-05,Cargo,3877,105345.234
2000-12,Supplies,1261,22597
2014-12,Others,6472,96282.25
1998-12,Bunkers,1765,43546
2006-07,Cargo,4586,59477.2
2002-06,Others,7188,20029.87
2000-11,Others,7612,21735
2001-07,Bunkers,1867,48560
2002-12,Others,7564,19895.43
1999-12,Cargo,4496,42325
2007-08,Supplies,1532,37001.52
2015-08,Others,6757,107764.48
1998-04,Bunkers,1688,39556
2001-08,Bunkers,1875,50512
2005-02,Cargo,3981,46949.16
2013-02,Cargo,3767,77376.47
2015-10,Bunkers,3468,152470.28
2002-05,Others,7530,20861.97
2006-12,Cargo,4591,60498.92
1994-07,Others,5949,1968.78
2005-01,Others,6783,20438.73
2001-03,Cargo,4691,43034
2003-09,Repairs,600,2800.92
1996-04,Cargo,4374,37200.03
1998-10,Repairs,384,3648
2021-09,Supplies,2115,93264.688
2016-11,Bunkers,3521,160701.12
2004-07,Supplies,1335,25817.78
2009-01,Repairs,531,3112.34
2016-03,Bunkers,3672,159168.43
1995-04,Others,6142,2862.16
2003-08,Repairs,625,4207.47
2012-09,Cargo,4274,86350.14
2018-06,Cargo,3883,106845.05
1999-09,Supplies,1311,22471
2012-11,Others,5855,68556.4
2004-10,Others,6060,20439.46
1996-12,Repairs,344,2796.24
1993-05,Others,5244,1079.32
1997-10,Repairs,400,2751
1998-09,Supplies,1204,21647
1993-04,Bunkers,1761,31173.33
2015-11,Repairs,273,2977.99
2003-06,Supplies,1368,24364.33
2011-09,Bunkers,3086,127518.68
2016-05,Bunkers,3626,162171.73
2001-11,Bunkers,1862,49356
1999-06,Cargo,4619,41334
2016-04,Bunkers,3641,160269.44
2003-01,Others,7629,19835.56
2009-12,Others,5676,50066.41
2001-04,Others,7541,22966
1997-02,Cargo,3865,34730
1994-05,Cargo,4007,32222.24
2021-08,Supplies,2084,90053.74
2010-10,Bunkers,3051,123294.91
2007-02,Others,4954,23361.81
2018-11,Supplies,2372,93820.63
2004-04,Cargo,4605,48978.67
1997-06,Supplies,1543,21645
2007-03,Cargo,4508,64995.03
2016-09,Supplies,2449,89606.7
2008-02,Supplies,1625,40181.91
2015-05,Others,6363,99413.84
2015-02,Others,5973,95423.81
2020-06,Others,1331,26930.74
1996-07,Others,7253,2302.22
2007-06,Bunkers,2486,83726.58
2009-02,Repairs,502,3108.25
2015-02,Bunkers,3005,134168.33
2014-01,Cargo,4092,91358.89
2013-05,Others,6611,77731.52
1994-10,Others,6192,2093.72
2002-03,Bunkers,1792,48948.49
1996-07,Repairs,406,3769.01
1993-12,Bunkers,1810,34440.32
2012-09,Others,5763,64939.31
2007-11,Others,5691,34869.33
1999-06,Others,7187,19257
2015-07,Cargo,4115,99269.36
2013-07,Repairs,563,3283.38
2015-07,Supplies,2496,87335.33
1998-10,Supplies,1211,19674
2013-04,Repairs,610,3626.44
2013-05,Repairs,598,3065.06
2014-11,Cargo,4069,89255.99
2007-02,Cargo,4033,56149.87
1994-01,Cargo,3832,31194.09
1999-06,Bunkers,1742,44071
2016-06,Others,6755,103632.16
2014-11,Supplies,2282,85195.64
2010-03,Bunkers,2962,113090.83
2020-12,Supplies,2436,106831.778
1996-11,Others,7860,2537.59
2017-12,Repairs,280,2320.29
2017-12,Bunkers,3369,164661.9
2014-01,Bunkers,3443,158573.14
2011-10,Bunkers,3315,137744.31
2013-10,Repairs,533,3540.5
2008-10,Others,5789,44928.7
2020-01,Supplies,2690,115337
2021-06,Repairs,185,1551.782
2011-04,Supplies,1839,54626.39
2004-12,Others,6850,20589.44
1997-03,Repairs,429,2531
2002-08,Others,7633,20094.94
2013-02,Bunkers,2898,128798.26
2020-02,Supplies,2496,104402
2006-10,Others,5641,25620.72
2001-07,Repairs,643,4106
2015-06,Repairs,354,2706.19
2012-03,Supplies,2086,72388.1
1998-04,Supplies,1413,20678
1994-07,Bunkers,1834,34532.89
1995-02,Repairs,309,2069.94
2016-04,Others,6780,111791
2017-07,Cargo,4180,104451.43
1995-02,Supplies,1270,16660.68
2009-06,Repairs,625,3306.75
2008-05,Others,6149,43875.43
1994-02,Cargo,3303,28169.53
2012-05,Repairs,572,3003.42
2010-04,Bunkers,2900,109984.48
2015-01,Others,6438,102379.27
1995-01,Supplies,1408,18132.77
2021-11,Cargo,3490,90772.395
1999-12,Repairs,338,2668
2012-02,Others,5405,61720.66
2015-12,Bunkers,3610,161470.42
2004-06,Others,6085,19479.76
2010-06,Bunkers,3032,116858.24
2008-04,Repairs,524,3235.84
2016-07,Cargo,3918,100873.88
2003-11,Bunkers,1794,50725.58
2019-07,Repairs,209,3616.023
2021-10,Cargo,3442,85157.584
2016-10,Supplies,2536,91651.54
2003-04,Others,6636,17416.07
1994-02,Others,4998,1661.34
2003-09,Others,6564,16747.45
2013-12,Supplies,2255,80943.8
2001-03,Others,8024,21676
2000-01,Bunkers,1758,46117
2007-09,Others,5781,31515.73
2013-06,Repairs,592,2921.59
2005-11,Bunkers,2089,62503.55
2001-11,Repairs,622,3567
2017-10,Bunkers,3322,160212.23
2006-11,Others,5503,27398.87
2014-12,Supplies,2359,82162.89
2020-12,Others,2533,85214.338
2009-10,Cargo,4562,72903.96
1998-05,Bunkers,1760,42576
2016-11,Others,6773,109249.65
2001-05,Cargo,4671,43473
2003-04,Repairs,741,3668.89
2019-04,Repairs,204,2690.264
2008-06,Supplies,1681,41766.82
1993-12,Cargo,3688,30295.57
2019-07,Cargo,3844,104709.831
2006-03,Supplies,1525,33369.5
2014-08,Bunkers,3236,142684.11
2012-11,Cargo,4147,85548.47
2019-04,Cargo,3720,101444.164
2016-02,Others,6353,98548.63
2021-03,Cargo,3754,99569.524
2016-02,Bunkers,3273,140540.49
1993-08,Others,5248,909.65
2014-09,Supplies,2265,81528.68
2020-11,Supplies,2457,109474.6
2009-11,Others,5442,47050.13
2007-10,Repairs,535,2613.76
1994-06,Others,5755,1994.44
2006-06,Repairs,555,3152.2
1996-03,Bunkers,1852,41997.92
1998-02,Repairs,327,2382
2014-07,Bunkers,3278,146178.95
2009-09,Repairs,649,2941.38
2013-01,Repairs,583,1925.82
1998-09,Bunkers,1737,42538
2018-09,Supplies,2378,94529.6
2011-01,Others,5523,58328.41
2010-04,Supplies,1794,49965.3
2014-04,Supplies,2171,78572.02
2001-02,Cargo,4132,38205
2000-07,Supplies,1325,25386
1993-09,Bunkers,1779,32189.98
1999-05,Cargo,4683,42811
2021-01,Cargo,3519,96808.02
2007-12,Bunkers,2592,84886.37
2012-06,Supplies,1924,65211.06
2001-12,Others,7478,22142
2016-06,Repairs,314,2207.98
2019-03,Cargo,3835,99089.03
2008-07,Repairs,596,3482.21
2009-11,Repairs,556,2395.35
2015-07,Others,6574,99034.96
1997-03,Bunkers,1676,37101
2017-05,Repairs,275,3413.19
2018-06,Others,7244,116707.21
2007-04,Repairs,407,2421.97
2002-12,Cargo,4195,45262.86
2002-11,Cargo,4256,43076.42
2016-04,Supplies,2667,96919.69
2019-10,Bunkers,3442,186151.096
1999-01,Repairs,395,2853
2015-02,Cargo,3758,86583.52
1999-05,Others,7250,19073
2018-09,Bunkers,3310,168855.1
2011-06,Bunkers,3059,121748.37
1996-06,Others,6868,2380.34
1997-12,Bunkers,1823,42878
2018-09,Cargo,3814,99926.3
2012-09,Repairs,568,3366.92
2004-09,Cargo,4696,50456.85
2014-06,Others,6362,79337.11
2011-10,Cargo,4397,84472.56
2002-05,Repairs,693,3557.92
1993-07,Others,5340,1028.31
2006-04,Supplies,1454,33199.92
1993-07,Cargo,3763,30378.2
2012-01,Others,5571,64175.07
2004-11,Others,6311,18887.43
2021-11,Others,2298,70060.971
2009-11,Bunkers,2574,99612.55
2017-09,Cargo,4072,104835.75
2009-04,Bunkers,2750,99776.28
1993-11,Supplies,1143,15860.19
2000-12,Bunkers,1768,46087
2020-06,Bunkers,3178,161729.393
2005-06,Cargo,4543,53931.88
2012-11,Supplies,2043,71426.89
2018-08,Cargo,3938,102541.35
1995-07,Others,6005,2471.11
2016-01,Repairs,279,2153.62
2015-07,Repairs,347,3788.33
2005-08,Supplies,1374,29287.93
2014-06,Supplies,2188,75562.62
2012-01,Bunkers,3315,142623.86
2015-01,Bunkers,3388,148370.39
2017-03,Supplies,2800,104507.43
2018-10,Bunkers,3340,172141.6
2021-04,Others,2265,64587.045
2012-02,Cargo,4019,73847.46
2011-03,Repairs,716,3177.6
1996-02,Others,6297,2600.45
2019-11,Others,7549,129148.046
2010-06,Others,5241,48650.94
2003-07,Bunkers,1811,50924.87
2012-07,Supplies,2010,66755.13
1995-11,Supplies,1265,16599.71
1994-12,Cargo,4074,33288.69
2002-12,Bunkers,1823,52835.94
2019-11,Cargo,3905,101778.878
2018-05,Supplies,2401,91579.25
2017-04,Others,7093,109151.94
2016-01,Bunkers,3640,163140.55
1994-12,Bunkers,1794,33804.59
2003-10,Others,6931,18956.54
2020-03,Others,4435,63918
2015-05,Bunkers,3497,149668.03
2004-11,Bunkers,1972,58631.71
2003-07,Cargo,4493,46796.84
2011-09,Supplies,1801,58153.13
2001-02,Repairs,482,2569
2000-02,Supplies,1227,22874
2018-09,Others,7395,121850
2011-04,Cargo,4236,80543.12
2014-08,Repairs,420,3667.9
2002-03,Cargo,4592,45092.14
2004-04,Others,5708,19019.8
2008-08,Bunkers,2770,99034.07
1995-04,Cargo,3818,33191.51
1994-06,Bunkers,1758,33477.66
2013-04,Others,6233,72743.59
1997-07,Supplies,1648,22209
2021-07,Supplies,2263,97603.344
1995-07,Cargo,4090,34656.67
2013-04,Cargo,4211,85463.9
2014-06,Repairs,624,3646.08
2017-11,Others,7045,118341.11
2004-10,Cargo,4667,50720.3
1994-02,Bunkers,1609,29834.22
2006-08,Others,5754,26016.85
2017-06,Repairs,296,2812.39
2007-10,Bunkers,2528,86960.82
2019-08,Others,7726,125410.43
2005-03,Bunkers,2027,60405.2
2021-11,Bunkers,3211,175931.978
2010-03,Repairs,815,2699.73
2010-10,Repairs,685,2785.83
1996-06,Cargo,4521,36841.49
1997-03,Cargo,4854,39681
2017-10,Supplies,2459,94835.97
1996-02,Repairs,318,2886.62
1995-11,Repairs,338,2919.95
1996-09,Others,7429,2395.31
1994-05,Repairs,418,4200.35
1997-01,Others,5722,16360
1999-08,Bunkers,1809,44598
2008-07,Others,5959,42051.82
2002-06,Repairs,672,3494.58
1996-08,Cargo,4726,38927.26
1998-09,Repairs,395,3936
2012-07,Cargo,4352,86984.42
1997-09,Supplies,1567,22148
2014-01,Supplies,2518,90449.02
2000-11,Cargo,4630,41817
2012-02,Bunkers,2980,124169.71
1997-01,Cargo,4867,40181
2008-02,Bunkers,2449,84853.35
2002-03,Others,7538,22663.81
2005-07,Bunkers,2091,63151.49
2010-01,Repairs,650,2895.91
2021-02,Supplies,2342,105732.172
1999-08,Repairs,383,2391
2019-11,Supplies,2526,100665.982
2011-02,Repairs,643,2965.96
2008-08,Repairs,593,3385.03
2003-12,Others,7085,19003.8
1994-08,Others,6083,1801.2
2017-03,Others,7243,115118.7
2017-07,Repairs,289,3298.62
2008-10,Supplies,1613,41389.72
2001-01,Repairs,417,2668
2008-10,Cargo,4687,72186.58
2004-07,Others,6350,17984.23
2004-06,Supplies,1370,26531.71
2021-10,Others,2170,65776.02
2002-01,Supplies,1312,25413.16
2002-08,Cargo,4477,46141.47
1999-09,Others,7122,20273
2000-04,Bunkers,1754,47044
2014-07,Supplies,2215,79718.89
2009-09,Bunkers,2749,107241.78
2021-01,Repairs,217,2053.676
2006-07,Others,5952,23946.46
2017-07,Supplies,2585,103202.98
2007-01,Repairs,478,1959.13
2007-03,Bunkers,2494,83828.2
2017-01,Others,6927,106960.81
2010-06,Cargo,4408,75911.45
2004-01,Supplies,1290,22234.66
2020-11,Repairs,199,2158.353
2004-06,Repairs,594,4458.1
2008-12,Supplies,1670,43002.06
2005-01,Supplies,1234,24239.12
2009-02,Others,5110,39425.07
1996-03,Repairs,365,3694.84
1993-01,Cargo,3435,28623.45
2006-04,Bunkers,2175,70574.38
2006-08,Bunkers,2324,76599.4
2003-09,Cargo,4304,46224.66
2019-05,Repairs,252,3096.923
2004-08,Supplies,1299,25547.78
2013-03,Others,6536,75785.81
2014-12,Bunkers,3102,133962.01
1996-05,Others,6958,2797.31
2007-08,Others,5887,32087
2011-02,Others,4853,53407.66
2011-05,Bunkers,3237,129262.34
2021-05,Repairs,215,1865.54
2005-06,Supplies,1360,28703.52
2010-05,Supplies,1815,51173.03
2013-07,Others,6763,83646.05
2012-03,Others,6031,75457.08
2017-06,Bunkers,3378,164167.99
2018-03,Supplies,2541,96163.18
2003-10,Supplies,1308,24422.24
1997-08,Cargo,5008,40396
2017-07,Others,7290,115826.65
2004-10,Bunkers,2009,57857.87
2007-08,Bunkers,2521,85496.03
1994-10,Supplies,1355,19534.65
2019-10,Repairs,222,3447.598
2000-12,Repairs,347,2245
2020-05,Others,921,7346.7
2003-02,Bunkers,1665,48760.51
2002-06,Cargo,4444,45480.64
2011-11,Cargo,4165,80949.62
2005-05,Repairs,548,3496.39
2019-06,Cargo,3569,101246.379
1998-06,Supplies,1404,18557
2003-02,Others,6684,18455.4
1993-02,Others,4637,1335.42
1993-10,Cargo,3909,31062.2
1993-01,Bunkers,1767,33804.9
2014-05,Bunkers,3300,143658.6
2021-11,Supplies,2185,99758.502
2000-03,Supplies,1345,22479
2005-11,Supplies,1432,29876.5
2013-06,Supplies,2169,74824.63
1996-07,Supplies,1442,18710.34
1994-12,Repairs,349,2909.59
2004-02,Others,6323,17473.85
2001-10,Repairs,644,3762
2000-06,Others,8077,20896
2012-03,Cargo,4317,82350.96
2010-09,Cargo,4263,76370.22
1995-11,Cargo,4142,35395.42
2000-10,Supplies,1343,26085
2020-04,Supplies,2321,98434.401
2018-02,Repairs,211,1851.94
2007-01,Bunkers,2484,80517.49
1996-10,Supplies,1490,19099.16
2018-12,Repairs,221,2119.76
1998-03,Cargo,4863,42097
2010-11,Bunkers,2980,118971.02
2019-08,Bunkers,3423,171401.315
2014-09,Bunkers,3178,141979.02
2020-09,Cargo,3906,95719.481
2021-04,Supplies,2261,98845.752
2003-05,Supplies,1401,25400.75
2016-10,Others,6998,104472.46
2018-10,Supplies,2464,95310.49
2005-10,Bunkers,2146,66188.09
2010-12,Supplies,1866,56200
2005-12,Bunkers,2107,63315.61
2014-02,Others,6151,76596.78
2018-05,Cargo,4485,111699.71
2001-03,Supplies,1362,23599
2007-02,Repairs,523,2216.03
2014-05,Others,6620,84561.06
2007-02,Supplies,1384,29617.64
2014-08,Cargo,4254,95573.49
2008-08,Cargo,4845,71807.05
2006-11,Cargo,4640,58480.01
2009-10,Supplies,1809,49054.21
2009-08,Bunkers,2758,103198.43
1995-01,Bunkers,1789,36699.11
2002-09,Repairs,755,3021.61
2016-03,Supplies,2782,97393.87
2005-10,Cargo,4597,55375.82
1998-12,Repairs,391,2604
2013-02,Repairs,542,1984.57
1997-12,Others,6614,19936
1994-11,Repairs,369,3044.05
2016-09,Repairs,295,3057
2016-09,Cargo,4231,99894.86
2018-04,Supplies,2506,99114.79
2011-10,Supplies,2008,64747.47
2000-03,Bunkers,1712,43266
2014-12,Repairs,395,2110.78
1998-10,Cargo,4891,41711
2002-09,Bunkers,1698,47751.14
2006-05,Repairs,516,3580.83
2006-09,Repairs,593,3159.19
2003-10,Cargo,4496,46664.63
1996-09,Supplies,1369,18272.69
2005-01,Bunkers,2087,62500.02
1997-12,Supplies,1403,22104
2015-05,Supplies,2508,87235.57
2019-02,Others,6695,118194.22
2016-04,Repairs,366,2971.49
1997-07,Bunkers,1800,41999
2020-12,Repairs,188,2470.201
2000-05,Repairs,384,2946
2019-06,Repairs,201,3330.925
2021-05,Bunkers,3350,178505.992
2007-05,Bunkers,2494,79980.85
1994-01,Supplies,1192,17672.06
1995-03,Repairs,369,2466.06
2018-07,Bunkers,3297,164662.45
2009-07,Others,5946,47502.35
2005-12,Repairs,503,2801.39
2006-10,Bunkers,2362,73040.24
2010-09,Repairs,681,3477.88
2008-01,Repairs,548,2443.42
2008-04,Cargo,4780,70479.51
2006-11,Repairs,471,2907.97
2014-02,Supplies,2163,75496.64
1993-05,Repairs,385,4239.15
2002-03,Repairs,757,3234.44
2003-06,Bunkers,1867,53280.08
1994-11,Cargo,4038,33601.1
2001-05,Bunkers,1772,46511
2010-04,Cargo,4360,73209.46
1999-10,Supplies,1333,21688.26
2018-07,Repairs,223,3156.81
2009-05,Supplies,1807,50067.17
2006-11,Bunkers,2247,70249.23
2010-06,Supplies,1765,50285.56
2000-11,Bunkers,1707,42916
1995-10,Bunkers,1800,36648.38
2006-05,Cargo,4569,58609.11
2005-03,Supplies,1301,26306.19
2009-01,Bunkers,2690,95874.5
2007-02,Bunkers,2224,72255.7
1995-11,Others,6568,2623.23
2020-07,Others,2066,70613.879
2011-10,Repairs,692,2903.34
1998-01,Supplies,1435,22635
1998-11,Supplies,1209,21254
2017-08,Supplies,2476,99411.27
2003-08,Supplies,1329,27263.35
1994-11,Bunkers,1704,33452.55
2002-05,Bunkers,1811,50176.8
1993-04,Cargo,3670,28739.83
2011-11,Supplies,1903,62311.74
2011-05,Supplies,1979,59520.71
2013-09,Others,6684,77373.8
2009-06,Cargo,4534,71127.2
2006-06,Others,5829,25024.65
1995-04,Supplies,1320,18759.39
2004-03,Cargo,4810,51534.78
2012-08,Others,5839,68918.13
2005-04,Others,6053,19996.52
2003-07,Others,6784,20673.38
2005-09,Cargo,4487,52894.6
2002-11,Supplies,1312,23774.36
1997-05,Supplies,1637,21152
2017-10,Others,7283,113052.36
2011-07,Bunkers,3125,126575.3
2018-11,Repairs,224,2188.62
2008-05,Bunkers,2754,93897.58
2013-06,Cargo,4142,87856.39
2011-04,Bunkers,3085,123274.8
1998-12,Others,7588,18110
2008-11,Supplies,1649,43191.63
2006-12,Others,5799,26040.8
2020-09,Supplies,2667,101518.977
2013-03,Bunkers,3116,134847.52
1997-07,Repairs,407,3506
2019-03,Supplies,2359,92765.15
2010-05,Bunkers,2991,114187.21
2014-11,Repairs,363,3417.62
2005-11,Cargo,4285,53392.18
2001-04,Supplies,1239,23927
2012-05,Supplies,2149,71363.59
2021-01,Others,2476,83484.155
2013-01,Cargo,4166,85901.8
1996-05,Supplies,1422,19352.41
2004-04,Repairs,574,2861.13
2000-04,Repairs,430,2979
2019-09,Cargo,3715,101041.518
2012-12,Supplies,2033,70082.82
2012-06,Others,5655,63526.89
2011-02,Cargo,3764,71331.21
2008-10,Repairs,570,4034.6
2001-09,Supplies,1311,23162
2016-09,Others,6713,101929.1
2007-04,Supplies,1549,34602.5
1994-03,Cargo,3839,31235
1994-11,Others,6182,2214.39
2005-03,Cargo,4725,54847.96
1998-08,Others,7170,16516
2001-08,Supplies,1364,25433
2012-10,Repairs,539,2019.18
1998-07,Others,6960,17499
2013-08,Repairs,551,2275.94
2005-04,Bunkers,2062,59606.99
2013-11,Others,6747,82086.93
2010-11,Repairs,731,2806.93
1993-10,Others,5492,1376.1
1998-07,Cargo,4943,42395
2015-08,Supplies,2562,97183.25
2001-05,Others,8082,22536
1998-02,Bunkers,1716,40299
2007-12,Repairs,487,2429.57
1996-02,Bunkers,1702,39202.54
2003-03,Bunkers,1839,55780.99
2002-02,Others,6594,19414.1
2020-02,Others,6635,100835
2019-12,Repairs,223,2644.857
2014-01,Repairs,636,2457.99
2019-01,Repairs,227,2079.82
2007-10,Cargo,4797,68860.15
2016-08,Bunkers,3561,162716.31
2016-01,Others,6777,107093.98
2004-11,Cargo,4324,50023.8
2005-01,Cargo,4604,53342.81
1995-04,Bunkers,1800,38191.1
2008-03,Others,5861,41794.76
2010-11,Cargo,4307,76713.85
2010-07,Cargo,4520,78786.27
1994-09,Bunkers,1943,38546.14
2004-03,Supplies,1440,24983.58
2018-04,Others,7264,121374.14
1998-07,Supplies,1309,21445
2015-07,Bunkers,3418,143689.76
2002-01,Bunkers,1765,47451.28
2011-06,Cargo,4255,80225.21
2004-03,Repairs,615,3546.04
1995-10,Others,6604,2466.99
2008-07,Cargo,5078,73393.41
2005-01,Repairs,528,2185.37
1998-10,Bunkers,1727,42785
1998-05,Supplies,1378,20597
1995-10,Cargo,4205,35261.16
2011-08,Repairs,726,3107.8
1999-08,Cargo,4650,41447.27
1997-09,Repairs,396,3697
2000-01,Repairs,399,3045
2019-04,Others,7314,124210.714
2004-07,Bunkers,1930,55826.41
2000-06,Repairs,395,3140
2007-07,Bunkers,2532,85291.99
1999-07,Supplies,1359,22698
1999-05,Supplies,1389,25264
2001-04,Bunkers,1750,47648
2021-04,Bunkers,3458,179824.414
2016-05,Supplies,2682,98072.04
2004-08,Others,6229,19142.99
2003-01,Supplies,1338,27258.93
2007-01,Cargo,4601,60705.84
2001-09,Cargo,4547,43819
2006-01,Others,5663,22569.47
1997-04,Repairs,392,2813
1993-06,Others,5093,1272.72
2007-08,Repairs,545,2553.78
2010-08,Bunkers,2950,112806.64
2008-04,Supplies,1749,45296.67
2005-11,Repairs,519,3224.18
1996-05,Repairs,374,3420.8
2018-07,Others,7639,123486.6
2004-01,Bunkers,1894,53364.59
2020-03,Cargo,3828,98569
2001-06,Cargo,4519,43476
2020-04,Others,1226,9398.972
1995-10,Repairs,346,2760.35
1997-11,Supplies,1395,19589
2005-05,Bunkers,2061,60784.24
2017-09,Bunkers,3299,162976.57
2020-05,Supplies,2448,96211.909
1996-11,Repairs,382,2126.52
2015-11,Bunkers,3397,149636.66
2021-02,Others,2212,78501.139
2000-05,Bunkers,1919,49312
2008-10,Bunkers,2677,90832.01
2001-08,Repairs,603,3646
2002-11,Others,7462,18868.07
2019-07,Supplies,2430,100305.555
2018-01,Cargo,4942,113719.16
2000-05,Supplies,1380,25003
1998-01,Cargo,4478,40709
2012-12,Others,6256,68872.41
1996-10,Cargo,4670,39437.8
2009-10,Repairs,655,3056.32
1998-03,Supplies,1382,20140
2000-08,Bunkers,1788,46609
2000-08,Others,7982,22816
2002-08,Bunkers,1731,49400.1
2008-09,Bunkers,2546,89233.69
2012-01,Repairs,697,2799.83
2007-09,Supplies,1621,38599.58
1995-06,Repairs,313,3081.69
2010-08,Supplies,1779,50747.57
2011-12,Repairs,722,3683.14
1999-02,Repairs,321,2503
1998-11,Repairs,375,3067
1998-08,Cargo,4823,42071.1
2021-09,Cargo,3366,85530.513
2018-01,Repairs,241,1811.95
2015-08,Repairs,358,3893.54
1996-04,Others,6894,2342.04
1994-01,Bunkers,1832,33551.03
1997-05,Bunkers,1753,39438
1999-10,Bunkers,1831,45514.18
2008-01,Supplies,1672,41863.45
2007-06,Cargo,4557,64389.65
1997-08,Bunkers,1765,39765
2005-07,Supplies,1369,28275.75
2014-07,Cargo,4206,95500.25
2002-05,Supplies,1394,24737.91
2021-06,Others,2027,53268.275
1998-07,Repairs,389,3539
2007-03,Supplies,1539,35865.44
2002-12,Supplies,1399,25435.1
1993-12,Repairs,337,3137.57
2009-03,Repairs,571,3639.74
1994-08,Repairs,423,3220.22
2005-09,Others,5722,23737.64
2021-08,Repairs,139,1683.989
2005-02,Others,5801,16669.35
2003-12,Supplies,1255,23739.38
2009-07,Bunkers,2765,103404.41
2017-05,Supplies,2616,99628.45
2010-05,Repairs,735,3251.1
2007-03,Others,5474,29150.93
2015-10,Repairs,331,4448.98
1998-06,Others,6765,17066
2007-08,Cargo,4768,65211.17
2002-11,Bunkers,1866,53719.77
2016-12,Repairs,315,2060.82
2003-02,Supplies,1205,23652.43
2007-06,Repairs,445,2769.28
2009-11,Supplies,1696,48031
2013-12,Bunkers,3193,142923.87
2019-02,Bunkers,3180,163084.75
1999-05,Bunkers,1733,44587
2000-08,Cargo,4629,42999
2019-12,Supplies,2667,110615.88
2011-12,Others,5819,65959.15
1995-10,Supplies,1270,16466.13
2017-04,Repairs,349,3536.36
2016-11,Repairs,288,2524.14
2019-11,Bunkers,3537,185048.637
2013-10,Cargo,4302,90112.75
1995-09,Repairs,372,2822.37
2016-12,Cargo,4556,101095.86
1999-11,Supplies,1313,23139
1995-05,Bunkers,1756,37456.01
2003-04,Bunkers,1828,54577.85
2007-01,Supplies,1562,34044.27
1999-11,Repairs,353,2353
2012-05,Bunkers,3353,146639.28
2021-03,Repairs,201,2374.906
2002-02,Supplies,1173,21471.19
2021-11,Repairs,113,1902.371
1993-06,Bunkers,1811,34743.94
2021-09,Bunkers,3098,164423.152
2010-04,Others,5232,48804.4
1994-01,Others,5682,1838.94
1998-04,Repairs,372,3246
1997-01,Repairs,364,2996
2011-06,Supplies,1813,57175.11
1994-10,Bunkers,1877,36416.38
2013-02,Others,5887,69507.71
1997-02,Bunkers,1581,35577
2011-06,Repairs,633,3414.03
2006-06,Supplies,1527,34443.28
1997-11,Cargo,4690,39567
1994-05,Supplies,1276,16543.53
2000-12,Others,8017,21692
2014-11,Bunkers,3119,144126.5
1997-12,Cargo,4724,40628
2005-06,Bunkers,2031,60267.18
2014-10,Repairs,372,2946.15
2020-03,Bunkers,3557,180005
1995-02,Bunkers,1599,32908.81
1995-07,Supplies,1279,17323.29
2005-03,Others,6415,21395.97
2012-01,Supplies,1971,67896.64
1997-11,Others,6032,17778
1995-09,Cargo,4084,34694.56
2009-10,Others,5703,47711.53
2003-05,Others,6282,14998.72
2000-10,Repairs,386,3315
2007-04,Others,5228,26514.67
2003-09,Supplies,1303,24155.06
1998-03,Bunkers,1742,40291
2018-04,Bunkers,3329,167642.98
2001-09,Bunkers,1846,49024
2011-01,Repairs,719,2015.67
2014-03,Repairs,677,4151
2012-08,Bunkers,3111,134919.59
2005-09,Bunkers,2025,62186.21
2002-10,Bunkers,1822,52333.02
2007-04,Bunkers,2477,79579.63
2006-01,Supplies,1367,30560.23
2010-09,Others,5156,50461.79
2003-10,Repairs,630,4038.83
1995-12,Bunkers,1850,40044
2001-08,Cargo,4739,45578
2011-12,Bunkers,3256,137290.18
2005-02,Repairs,462,2544.82
2007-09,Bunkers,2491,87588
2001-06,Repairs,594,3429
2018-11,Bunkers,3255,166692.65
1999-12,Others,7144,18666
2002-05,Cargo,4521,45774.67
1993-05,Bunkers,1758,31131.21
1994-03,Supplies,1186,16600.01
2020-08,Repairs,122,923.995
2001-01,Cargo,4229,41068
2021-07,Cargo,3512,91493.881
1995-01,Repairs,395,2818.59
2002-10,Supplies,1435,26658.52
